school,state,region,year,confidence,flags,applied,admitted,admit_rate,enrolled_ft_freshmen,sat_25,sat_75,act_25,act_75,avg_gpa,pct_top_10,test_policy,tuition_in,tuition_out,coa_in,coa_out,n_with_need,n_no_need,n_no_need_merit,pct_no_need_merit,avg_merit,price_after_merit,n_athletic,avg_athletic,pct_need_fully_met,avg_pct_need_met,avg_need_based_award,notes
East Carolina University,NC,Southeast,2023-24,high,,22289,20084,0.9011,3894,1040,1200,19,24,3.3,12.2,"Not required for admission, but considered for some",7170,23447,14342,30619,2132,1762,414,0.235,5173,25446,13,1154,6.41,62.0,9362,All key fields found cleanly. Athletic aid reported separately from non-need-based merit aid.
Eckerd College,FL,Southeast,2023-24,high,merit_rate_clamped_denominator_approx,4664,3670,0.7869,534,1168,1330,24,29,3.6,,"Not required for admission, but considered for some",51884,51884,66618,66618,353,181,183,1.0,19339,47279,14,25589,12.18,58.6,27566,"Verified against source: H2/H2A Full-Time First-Time First-Year column gives with-need=353, no-need merit=183 (avg $19,339), athletic=14 (avg $25,589), all self-consistent (353+183=536 <= H2's own cohort line A of 543). enrolled_ft_freshmen=534 is from C1 and is slightly lower than H2's line-A cohort of 543 (likely includes a few summer-start students per CDS instructions); this minor cross-table difference does not indicate an extraction error since all merit/need figures were read directly from the correct freshman column."
Elon University,NC,Southeast,2023-24,high,,18791,12649,0.6731,1677,1200,1360,26,31,4.09,21.08,Required for some,44536,44536,59014,59014,674,1003,643,0.6411,9783,49231,62,35582,18.5,65,18753,All key fields found cleanly. Private institution with same tuition for all students. Cost of attendance calculated from tuition + fees + food & housing.
Emory University,GA,Southeast,2023-24,high,,33255,3543,0.1065,1425,1470,1540,32,34,3.8,83.9,"Not required for admission, but considered for some",64280,64280,84500,84500,587,838,70,0.0835,37010.23,47489.77,,,97.4,99.7,58625.7,All key financial aid data clearly labeled in H2 and H2A sections. Athletic scholarship data in H2A line P appears to be blank/not provided for first-time freshmen.
Fairfield University,CT,Northeast,2023-24,high,,15463,6956,0.4498,1435,1250,1368,29,32,3.75,27,"Not required for admission, but considered for some",56360,56360,73860,73860,585,850,808,0.9506,21820,52040,73,23670,49.7,81.4,28519,All key sections found cleanly. Private institution so in-state and out-of-state tuition are identical. Test policy is test-optional (considered for some but not required). H2A merit aid data clearly separated from need-based aid.
Florida Atlantic University,FL,Southeast,2023-24,high,,27636,20301,0.7346,3567,1050,1210,20,26,3.8,13.7,Required,6099,21665,21959,37525,1684,1883,563,0.299,1771,35754,53,8117,10.7,64.14,16183,All key sections found cleanly. Cost of attendance calculated from tuition and food/housing components.
Florida Gulf Coast University,FL,Southeast,2023-24,high,coa_estimated_from_components,16049,12318,0.7675,1705,1050,1200,20,25,3.07,21,Required to be considered for admission,6500,21570,23630,38650,1170,535,317,0.5925,1872,36778,42,2762,6.84,55,9421,Public institution. All financial aid values are for full-time first-year students. Merit aid includes both non-need-based scholarships/grants and athletic awards as reported in H2A section. COA not present in source text; audit set to null
Florida Institute of Technology,FL,Southeast,2023-24,high,,15205,9507,0.6253,880,1120,1310,23,28,3.5,26.0,Required,45900,45900,60240,60240,596,284,277,0.9754,18203.51,42036.490000000005,25,18892.0,17.98,84.1,28758.95,All key sections found cleanly. Private institution with both tuition and fees clearly separated. First-time freshman cohort well-defined across multiple sections.
Florida International University,FL,Southeast,2023-24,medium,merit_rate_clamped_denominator_approx,25034,14729,0.5884,3376,1060,1240,20,26,4.1,27.0,Required to be considered for admission,6566,18964,24882,37280,2424,952,1054,1.0,2616.13,34663.87,62,18793.66,10.8,52.3,9328.73,"Freshman-column (Full-Time, First-Time, First-Year) figures verified directly from H2/H2A: enrolled 3376, with-need 2424, no-need merit 1054 (avg $2,616.13), athletic 62 (avg $18,793.66). Note the source itself reports n_no_need_merit (1054) slightly exceeding enrolled-minus-with-need (952), an internal CDS inconsistency, not a column mixup, so the reported H2A value was kept. COA totals were recomputed: original figures omitted the G5 Transportation expense component; corrected COA = tuition+fees + food/housing + books + transportation + other expenses."
Florida State University,FL,Southeast,2023-24,high,,74038,18793,0.2538,5890,1250,1380,27,31,3.72,72.3,"Not required for admission, but considered if submitted",6517,21683,19991,35157,3352,2538,633,0.2494,4175,30982,49,17559,9.85,59,11142,All key fields extracted cleanly. Data includes 2023-24 academic year. H2A athletic aid properly identified separately from merit aid.
Fordham University,NY,Northeast,2022-23,high,,47203,25550,0.5413,2586,1330,1460,30,33,3.71,37.0,recommend,61992,61992,89575,89575,1831,755,461,0.6106,20301,69274,31,33108,24.7,71.2,32728,"All key sections found cleanly. Private institution with both in-state and out-of-state tuition set equal to $60,335. Test policy is 'recommend' per C8A (SAT or ACT recommended, not required). Financial aid data for first-time freshmen cohort (2581 students). H2A values clearly show 461 no-need-merit recipients and 31 athletic recipients."
Franklin W. Olin College of Engineering,MA,Northeast,2023-24,high,,928,201,0.2166,98,1500,1560,34,35,3.9,,optional,64458,64458,84278,84278,50,48,48,1.0,30069,54209,,,100,99.0,56825,All key fields found cleanly. Athletic aid values (P and Q) are null because the institution did not report any students awarded athletic scholarships. Section H2A clearly shows merit aid data in first-year column.
Franklin and Marshall College,PA,Northeast,2023-24,high,,9231,2938,0.3183,553,1330,1430,29,32,,45.0,Test optional,68580,68580,84148,84148,316,237,131,0.5527,21350,62798,1,4786,100.0,100.0,50457,All key fields found cleanly. Average HS GPA data not provided by institution (0.0% reported). Private institution so in-state and out-of-state tuition are identical.
Furman University,SC,Southeast,2023-24,high,,8406,4419,0.5257,618,1280,1410,28,32,3.66,40.2,"Not required for admission, but considered for some",59770,59770,76274,76274,309,309,260,0.8414,31161,45113,40,50206,38.8,84.74,44178,"All key sections (C, G, H2, H2A) found and clearly reported. Financial aid data is for first-time full-time freshmen cohort as required."
George Mason University,VA,Southeast,2023-24,high,,22579,20057,0.8883,4274,1160,1330,25,30,3.68,16.62,Score Optional,17532,41696,33961,58047,2120,2154,1183,0.5492,7095,50952,90,16584,6.54,66.4,9298,SAT composite score preferred and available; test policy is score-optional (not required for admission but considered for some). Merit aid includes both need-based and non-need-based components; athletic awards are reported separately.
George Washington University,DC,Southeast,2023-24,high,,27094,11798,0.4354,2528,1360,1480,31,34,,47.94,Required to be considered for admission,67710,67710,84630,84630,1117,1411,791,0.5606,23475,61155,28,45851,60.8,87.0,58007,All key data fields found cleanly in CDS sections. Private institution with same tuition for in-state and out-of-state. H2A merit aid fields clearly reported.
Georgetown University,DC,Southeast,2023-24,medium,,25485,3334,0.1308,1598,1390,1530,32,34,,87,Required,68016,68016,88612,88612,576,1022,96,0.0939,,,,17414,100,100,52187,"H2A merit aid numbers for merit.n_no_need_merit (line N) and merit.n_athletic (line P) were partially visible but average amounts for merit aid (line O) were not clearly extracted from text. Athletic scholarship average was visible ($17,414 for freshmen). Test scores use SAT composite as reported. High school GPA average not explicitly stated in document."
Georgia College & State University,GA,Southeast,2020-21,high,coa_estimated_from_components,4515,3880,0.8594,1358,1102.5,1230,23,27,3.52,,Require,9524,28704,23872,43052,669,689,25,0.0363,2690,40362,14,2336,31.24,67,4621,"Full-time first-time freshmen enrollment based on B1. H2A data clearly shows merit (non-need-based) aid recipients and amounts. Test scores reported; SAT composite from document, ACT composite also provided. Cost data from G1 for 2021-2022 academic year."
Georgia Institute of Technology,GA,Southeast,2023-24,high,,52377,8622,0.1646,3756,1330,1510,28,34,4.1,86,Required,12058,34484,26326,48092,1374,2382,281,0.118,6100,41992,47,29119,24,56,16106,"All key fields found cleanly. H2A data clearly distinguishes between merit scholarships (non-need-based) and athletic awards. First-time, first-year cohort used for all aid calculations as required."
Georgia State University,GA,Southeast,2023-24,medium,,33753,17718,0.5249,4347,980,1200,19,26,3.6,,Recommended,10500,30720,26502,46722,4118,229,,,,,,,1.29,47.3,6357.29,"H2A merit aid section (N, O, P, Q) values not clearly extracted from document - appears missing or formatted unclearly. Test policy is 'recommended' not 'required'. Class rank (C10) percentage in top tenth not provided. Pct_top_10 and athletic aid values set to null due to missing data."
Gettysburg College,PA,Northeast,2023-24,high,,7122,3383,0.475,605,1350,1460,27,32,,51,Required for some,66640,66640,82750,82750,347,258,150,0.5814,33707,49043,0,0,90,90,54032,SAT composite 75th percentile calculated from components (EBRW 720 + Math 740 = 1460). All key fields found cleanly in CDS document. Athletic aid shown as zero for first-time freshmen.
Gonzaga University,WA,West,2023-24,high,,9530,7239,0.7596,1254,1233,1400,26,31,3.7,39,Recommended,55480,55480,71210,71210,641,613,567,0.925,21214,49996,42,27911,,81,41087,"All key financial aid fields (H2A) clearly identified. SAT/ACT scores, admissions counts, and cost of attendance data are complete and well-documented in the CDS. Private institution with identical in-state and out-of-state tuition."
Grinnell College,IA,Midwest,2022-23,high,,9997,1076,0.1076,437,1410,1520,31,34,,66,Required,64862,64862,80740,80740,289,148,110,0.7432,18896,61844,0,0,100,100,57342,"All key sections (C1, C8, C9, C10, G1, H2, H2A) found cleanly. Private institution so in-state and out-of-state tuition are identical. H2A shows no athletic scholarships awarded to first-time freshmen in 2022-23."
Gustavus Adolphus College,MN,Midwest,2023-24,low,coa_from_ipeds,,,,,,,,,,,,,,67680,67680,,,,,,,,,,,,"Document is a blank CDS template with no institution data filled in. All enrollment, cost, and financial aid fields are empty templates."
Hamilton College,NY,Northeast,2023-24,high,,9643,1135,0.1177,462,1430,1520,32,35,,78.95,not_required,68960,68960,88770,88770,256,206,,,,,,,100,100,59356,Hamilton College does not award non-need-based aid as policy; H2A fields are null/not applicable. Test policy is test-optional (not required but considered if submitted).
Harvard University,MA,Northeast,2023-24,high,,56937,1965,0.0345,1645,1500,1580,34,36,4.2,94.4,Required,61676,61676,82866,82866,938,707,1,0.0014,6000,76866,0,0,100,100,67949,Harvard is a private institution; in-state and out-of-state tuition are the same. Athletic aid is $0 for first-time freshmen in 2023-24. Cost of attendance calculated from tuition + fees + food/housing provided in G1.
Harvey Mudd College,CA,West,2023-24,high,,4792,626,0.1306,224,1490,1550,34,36,,83,optional,66505,66505,90415,90415,116,108,49,0.4537,10487,79928,,,100,100,57241,Test policy is SAT/ACT optional for FA25. GPA data not provided (marked C or t in CDS). Athletic aid shows N/A in H2A. All need-met students received 100% of need.
Haverford College,PA,Northeast,2023-24,high,,6391,825,0.1291,373,1440,1530,33,35,,96.2,"Not required for admission, but considered for some",70688,70688,89858,89858,183,190,0,,0,,0,0,100,100,64811,All key fields found cleanly. Haverford College does not award merit scholarships or athletic scholarships to first-year students; all aid is need-based.
Hendrix College,AR,Southeast,2022-23,high,,2729,1645,0.6028,363,1160,1310,23,31,3.85,33.2,Required,36300,36300,55194,55194,224,139,130,0.9353,25588,29606,0,,44.19,85.9,31300,Private institution. All financial aid data from full-time first-time first-year cohort. Test policy is test-required (SAT or ACT). SAT composite from reported range 1160-1310. Athletic aid appears to be zero or separately reported.
Hobart and William Smith Colleges,NY,Northeast,2023-24,high,,5560,3185,0.5728,462,1230,1360,26,32,3.86,23.1,"Test optional; not required for admission, but considered for some",65117,65117,81042,81042,316,146,119,0.8151,29289,51753,0,0,22.47,84.46,47722,All key fields found cleanly. Private institution so in-state and out-of-state tuition are identical. Test optional policy with no-harm clause.
Hofstra University,NY,Northeast,2020-21,high,merit_rate_clamped_denominator_approx,24062,16630,0.6911,1381,1160,1330,24,31,3.73,32,optional,49410,49410,66338,66338,1073,308,372,1.0,24139,42199,30,27938,25.1,69,25438,"Re-verified: all values confirmed from the First-time Full-time First-Year column of H2/H2A (not all-undergrad). Note H2's own freshman cohort line (a)=1522 differs from C1 enrolled=1381 (a common CDS reporting quirk); using H2's internal cohort, 372 no-need merit + 30 athletic = 402 <= 1522-1073=449 with-need, so figures are internally consistent. COA verified as tuition($48,315)+fees($1,095)+room&board($16,928)=$66,338, not the merit-aid figure."
Howard University,DC,Southeast,2022-23,high,,19537,10140,0.519,2489,1060,1270,20,26,3.65,5.7,Test Optional,31050,31050,46930,46930,2015,474,310,0.654,15718,31212,79,26140,12.6,28,8152,"All key fields extracted cleanly from CDS document. Private institution with both in-state and out-of-state tuition listed as same value ($30,584). Test optional policy confirmed. H2A merit aid fields clearly identified and verified."
Illinois College,IL,Midwest,2022-23,high,merit_rate_clamped_denominator_approx,3243,2503,0.7718,233,960,1110,21,26,3.65,16.2,Recommend,37470,37470,47734,47734,191,42,50,1.0,22697,25037,,,23.04,90.41,33237,All key sections found cleanly. Private institution with same in-state and out-of-state tuition. Athletic scholarship data (H2A line P and Q) not provided in filing.
Illinois Institute of Technology,IL,Midwest,2023-24,medium,coa_from_ipeds,8912,4939,0.5542,528,1190,1400,25,31,4.2,39,Test-optional,,,72991,72991,414,114,113,0.9912,29083,43908,,,16.43,87,47812,Cost of attendance data (G1 section) was not captured in PDF text extraction; athletic aid numbers (H2A lines P and Q) were blank in source document. All other key sections extracted successfully.
Illinois Wesleyan University,IL,Midwest,2023-24,high,merit_rate_clamped_denominator_approx,6128,2768,0.4517,441,1140,1330,24,29,3.8,32.0,"Not required for admission, but considered for some",57704,57704,71074,71074,340,101,104,1.0,34721,36353,0,0,22.94,92.7,44325,"Verified against H2/H2A Full-Time First-Time First-Year column (not the all-undergrad column): A=441, C=340 with need, N=104 no-need merit @ $34,721 avg, P/Q=0 athletic. Source itself is mildly inconsistent (104 no-need-merit recipients exceeds 441-340=101 available non-need slots by 3), but these are the CDS's own reported FTFY figures, not a column-swap error, so they are retained as-is. SAT composite calculated from EBRW and Math percentiles (570+570=1140 for 25th, 660+670=1330 for 75th). Private institution so in-state and out-of-state tuition are identical."
Indiana University - Purdue University Indianapolis,IN,Midwest,2023-24,high,,15715,12791,0.8139,3191,1050,1230,21,28,3.53,17.3,test-optional,10448.32,33716.66,26684.32,49952.66,2336,855,612,0.7158,6098,43854.66,39,10572,18.95,69.5,12716,All key fields extracted cleanly from CDS. Test policy is optional (test-optional admission). COA totals calculated from components per G1 and G5.
Indiana University Bloomington,IN,Midwest,2023-24,high,,54279,43624,0.8037,9520,1180,1380,27,32,3.78,31.0,Test-optional,11790.16,40481.72,25170.16,53861.72,3952,5568,3688,0.6624,5955,47906.72,139,13768,18.84,66.1,13155,"Test policy clarification field (C8F) is blank. Based on submission rates (40.9% SAT, 16.2% ACT) and deadline specification, classified as test-optional. All H2A fields clearly reported for first-time freshmen."
Iowa State University,IA,Midwest,2023-24,high,,22995,20496,0.8913,5794,1120,1330,21,28,3.73,26.3,"Not required for admission, but considered for some",10497,29197.9,20223,38923.9,2748,3046,2575,0.8454,6552,32371.9,99,16866,24.05,80.0,11645,"All key sections (C, G, H2, H2A) found cleanly. Test policy shows tests not required but considered. Cost of attendance total calculated from components shown."
Ithaca College,NY,Northeast,2023-24,high,,12007,8398,0.6994,1194,1210,1330,27,31,,21.6,Considered if submitted,53540,53540,69732,69732,846,348,348,1.0,24582,45150,,,44.9,90.4,34572,All key financial aid fields found cleanly in H2 and H2A sections. Athletic scholarships reported as '--' (none reported). Institution is private nonprofit.
James Madison University,VA,Southeast,2023-2024,high,coa_estimated_from_components,35750,27258,0.7625,4916,1180,1310,23,29,,16.7,"Not required for admission, but considered if submitted",13576,30790,29560,46774,2080,2836,202,0.0712,8011,38763,77,29494,75.6,35,11313,Test-optional policy with ~26% submission rate. All H2A merit aid fields clearly reported in first-year column. GPA data not reported per CDS note C11.
Johns Hopkins University,MD,Southeast,2023-24,high,,38893,2478,0.0637,1418,1530,1560,34,35,3.93,20.6,Required to be considered for admission,65230,65230,88976,88976,757,661,73,0.1104,11851,77125,12,24412,95.8,99.4,64240,All major fields found cleanly. Private institution so tuition/fees are same for in-state and out-of-state. Athletic aid included separately in merit aid reporting per H2A section.
Juniata College,PA,Northeast,2023-24,high,,2914,2090,0.7172,390,1070,1280,22,29,3.73,26,"Not required for admission, but considered for some",56402,56402,69748,69748,226,164,57,0.3476,34963,34785,0,0,68.1,76.07,37387,All key sections found clearly. Private institution with same tuition for in-state and out-of-state. Athletic aid is zero. Data for 2022-2023 academic year reported in H2/H2A sections.
Kalamazoo College,MI,Midwest,2021-22,high,,3334,2666,0.7996,382,1160,1373,24,30,3.733,39,Consider if Submitted,56562,56562,67902,67902,296,86,80,0.9302,36009,31893,0,0,42.2,95.0,51497,All key sections found and clearly reported. SAT composite score reported directly (1160-1373). Test policy is 'Consider if Submitted.' Athletic awards are zero.
Kansas State University,KS,Midwest,2023-24,high,admit_rate_out_of_range,10672,10654,0.9983,3124,1050,1240,20,27,3.79,4,required,10942,27816,21742,38616,1338,1786,1183,0.6624,4843,33773,95,20359,34.6,83,7023,All key fields found cleanly. Test policy is 'required to be considered for admission' per C8 section.
Kenyon College,OH,Midwest,2023-24,high,,8218,2524,0.3071,455,1380,1480,31,34,3.9,55,"Not required for admission, but considered for some",71520,71520,87160,87160,214,241,110,0.4564,18820,68340,0,,100,100,53098,All key sections found. Private institution with same tuition for all students. Comprehensive food and housing data available. Merit aid includes non-need-based scholarships only; no athletic aid awarded.
Lafayette College,PA,Northeast,2023-24,high,,9874,3107,0.3147,697,1350,1470,30,33,3.56,50.0,"Not required for admission, but considered for some",65398,65398,85264,85264,236,461,133,0.2885,19849,65415,43,65493,100.0,100.0,52138,"All key data fields located cleanly. Private institution with same tuition for in-state and out-of-state. Test policy is test-optional. H2A merit aid data confirmed from lines N, O, P, Q for both non-need and athletic scholarships."
Lake Forest College,IL,Midwest,2023-24,medium,merit_rate_clamped_denominator_approx,4811,2858,0.5941,425,1190,1365,28,31,3.68,43,"Not required for admission, but considered if submitted",56402,56402,69102,69102,359,66,70,1.0,33300,35802,0,0,50.14,92,53993,"Verified against H2/H2A First-time Full-time Freshmen column (not all-undergrad column): enrolled=425, with-need=359, no-need merit N=70 avg $33,300, athletic N=0. Source has a minor internal inconsistency: 425-359=66 no-need freshmen, but H2A's own freshman column reports N=70 no-need merit recipients (off by 4); kept the H2A-reported freshman-column value per source rather than recomputing. Athletic awards reported as 0 institution-wide in H1 and 0/0 in H2A freshman column. G1 COA verified as tuition 55500 + fees 902 + food/housing 12700 = 69102, same for in-state/out-of-state (private institution)."
Lawrence University,WI,Midwest,2023-24,medium,coa_from_ipeds,3489,2199,0.6303,335,1230,1420,27,32,3.74,32,"Not required for admission, but considered if submitted",,,69849,69849,225,110,109,0.9909,34188,35661,0,0,58.2,94.3,44503,"G1 cost section values not visible in text extraction; typically indicates PDF format issue. All other key sections extracted successfully. Merit aid (H2A) fields confirmed: 109 students with no need awarded $34,188 average institutional merit aid; 0 athletic awards."
Lehigh University,PA,Northeast,2023-24,high,,18415,5389,0.2926,1531,1370,1480,31,33,,56.8,"Test optional (adopted 2020, planned to remain test-optional through Fall 2024)",64980,64980,82200,82200,730,801,182,0.2272,26056,56144,65,45842,77.0,98.0,59866,All key sections present and cleanly formatted. H2A merit aid data clearly reported for full-time first-time freshmen.
Lewis & Clark College,OR,West,2023-24,high,coa_estimated_from_components,6334,4721,0.7453,553,1230,1390,28,31,3.69,,Not considered for admission,65008,65008,84056,84056,370,183,181,0.9891,28485.64,55570.36,0,,42.4,91.4,50513.08,"File labeled Clark_University but contains Lewis & Clark College CDS data. Athletic aid data shows 0 recipients, so athletic award fields are null. Institution is private nonprofit."
Linfield College McMinnville Campus,OR,West,2023-24,high,,1963,1726,0.8793,345,,,,,3.6,,Test blind,49460,49460,63520,63520,277,68,65,0.9559,28760,34760,0,0,36.8,90.0,47818,Test scores not reported (0% submitting SAT/ACT); institution uses test-blind admissions. H2A merit aid data clearly labeled. All key financial aid fields found in first-year columns.
Louisiana State University,LA,Southeast,2023-24,high,,42558,31491,0.74,7494,1150,1300,24,29,3.81,5.3,Required to be considered for admission,11954,28631,35218,52095,4514,2980,1505,0.505,7148,44947,114,28899,12.4,57.4,14283,"All key fields extracted from CDS sections B1, C1, C8-C12, G1, H2, and H2A. Test policy is required for consideration. Percentages converted from percentile/percent format to 0-100 scale as needed."
Loyola Marymount University,CA,West,2023-24,medium,merit_rate_clamped_denominator_approx,23361,9413,0.4029,1533,1280,1430,29,33,4.01,39.4,"Not required for admission, but considered for some",62352,62352,81894,81894,708,825,884,1.0,12036,69858,35,22962,27.8,72.9,28644,"H2/H2A tables are explicitly for the 2022-2023 aid year (Fall 2022 freshman cohort, base=1607), one year behind the Fall 2023 admissions cohort (base=1533) used for enrolled_ft_freshmen and other admissions fields; need_aid/merit values (708 need, 884 no-need merit, 35 athletic) are correctly taken from the Full-Time First-Time First-Year column and are internally consistent with the 1607 base (884 <= 1607-708). Private institution so in-state and out-of-state tuition are identical; COA total calculated from tuition, fees, and food/housing components."
Loyola University Chicago,IL,Midwest,2023-24,high,,40468,32937,0.8139,2946,1210,1370,24,30,3.74,28.0,"Not required for admission, but considered for some",53710,53710,73520,73520,2073,873,863,0.9885,22869,50651,42,31701,17.8,84.3,31247,Private institution with comprehensive tuition and fees. All key sections found cleanly from CDS filing. Cost of attendance calculated from components (tuition + fees + room & board + books + other estimated expenses).
Loyola University Maryland,MD,Southeast,2023-24,high,merit_rate_clamped_denominator_approx,10162,7757,0.7633,1111,1200,1340,27,32,3.69,32,"Not required for admission, but considered if submitted",57150,57150,74820,74820,954,157,308,1.0,29356,45464,28,24189,27,83,13730,"Verified against source: all need/merit figures correctly pulled from the Full-time First-time First-Year column of H2/H2A (not all-undergrad). Apparent inconsistency (954 need + 308 no-need = 1262 > 1111 enrolled) is because H2/H2A explicitly report on the 2022-23 Final cohort (freshman base of 1269, per checkbox), while admissions.enrolled_ft_freshmen (1111) is the Fall 2023 CDS B1/C1 cohort; within the 2022-23 cohort of 1269 the figures are internally consistent (954+308=1262 <= 1269). G1 COA verified as tuition 57,150 + fees 0 + food/housing 17,670 = 74,820."
Macalester College,MN,Midwest,2023-24,high,,8099,2285,0.2821,518,1350,1480,30,33,,57.5,Optional,64908,64908,82496,82496,299,219,156,0.7123,20533,61963,0,,70.6,99.1,62307,"All key fields extracted cleanly from CDS. Private institution with same tuition for in-state and out-of-state. H2A sections clearly indicate merit aid: 156 students with no financial need received institutional non-need-based aid averaging $20,533. No athletic scholarship data provided (0 students)."
Marist College,NY,Northeast,2023-24,high,,10224,6616,0.6471,1287,1230,1348,27,30,3.7,23.0,"Not required for admission, but considered for some",47730,47730,66070,66070,793,494,452,0.915,17398,48672,60,18673.73,20.8,74.0,25594.53,All key sections found cleanly. Test policy is test-optional (not required but considered). Private institution so same tuition for in-state and out-of-state.
Marquette University,WI,Midwest,2023-24,high,,15657,13697,0.8748,1882,1200,1340,26,31,3.6,31.0,Considered if Submitted,51170,51170,68150,68150,1200,682,668,0.9795,28028,40122,36,24490,33.75,83.7,32889,All key sections located and extracted cleanly. Private nonprofit institution with clear reporting of merit and need-based aid data.
Massachusetts College of Liberal Arts,MA,Northeast,2023-24,medium,coa_from_ipeds,1543,1425,0.9235,189,,,,,3.31,10,not_required,,,29668,38343,129,60,60,1.0,3490,34853,,,62.02,88.3,10030,Cost of attendance data not yet available (checked as June 2024); test scores marked C or t (confidential/too few); athletic scholarships show N/A; institution is public so in-state and out-of-state tuition should be reported separately but marked as C or t.
Massachusetts Institute of Technology,MA,Northeast,2023-24,medium,,26914,1291,0.048,1091,1520,1570,34,36,,,Required,62396,62396,85960,85960,658,433,,,,,,,100,100,63099,"H2A merit aid fields all show 'N/Ap', indicating MIT does not separately report non-need-based merit scholarships. This suggests MIT's aid is primarily need-based with no separate merit awards for those without financial need. GPA data (C10-C12) also unavailable (N/Av). For private institution, both in-state and out-of-state tuition are identical."
Miami University,OH,Midwest,2023-24,high,,34498,28319,0.8209,3926,1130,1330,26,31,3.87,32.24,Required,18160.88,41221.28,34910.88,57971.28,1870,2056,1776,0.8638,11293,46678.28,72,27883,22.09,60.2,14594,"All key sections (C, G, H2, H2A) found clearly. Public institution with separate in-state/out-of-state tuition. Need-based aid statistics are for first-time full-time freshmen as required."
Michigan State University,MI,Midwest,2023-24,high,coa_estimated_from_components,58767,49414,0.8408,9361,1100,1300,24,30,3.8,19.77,"Not required for admission, but consider if submitted",16458,43842,31612,58996,4453,4908,2387,0.4863,3803,55193,90,34756,14.45,64,12288,"All key fields found cleanly. Data from Fall 2023 cohort, financial aid data reported for 2023-24 academic year (estimated)."
Michigan Technological University,MI,Midwest,2023-24,high,,20565,10935,0.5317,1459,1120,1330,25,31,3.83,30.4,Required to be considered for admission,19123,42988,32173,56038,913,546,531,0.9725,10778,45260,76,14349,48.95,91.1,8754,"All key fields found cleanly from CDS sections C1, G1, H2, and H2A. Test policy shows tests required to be considered for admission, but optional for students with 3.00+ high school GPA."
Middlebury College,VT,Northeast,2023-24,low,coa_from_ipeds,13297,1379,0.1037,615,1440,1530,33,34,,,"Not required for admission, but considered for some",,,85880,85880,,,,,,,,,,,,Verified against source: enrolled_ft_freshmen=615 is correct (confirmed in both B1 and C1 tables). Sections H2 and H2A (freshman need/merit aid detail) are entirely absent from this CDS filing -- the document jumps from H1 (all-undergraduate aid dollars) straight to Section I. G1 cost of attendance is explicitly marked 'not currently available.' No internal inconsistency exists because no no-need-merit figure was ever extracted to compare; the source simply lacks this data.
Milwaukee School of Engineering,WI,Midwest,2022-23,high,merit_rate_clamped_denominator_approx,3528,1950,0.5527,498,1190,1395,25,31,3.85,9.6,Not required,48421,48421,60983,60983,507,-9,142,-15.7778,22516,38467,0,0,27.81,89.3,32822,All key sections found. Private institution; H2A merit aid data clearly marked for first-time first-year cohort.
Mississippi State University,MS,Southeast,2023-24,high,,20877,15934,0.7632,3732,1105,1405,21,29,3.6,24.4,Considered if submitted,9815,26580,22108,38873,2416,1316,575,0.4369,6383.69,32489.31,85,23701.66,20,57.8,9212.13,"All key financial aid sections (H2, H2A) clearly present. Cost of attendance calculated from tuition + fees + room & board components."
Morehouse College,GA,Southeast,2023-24,high,,5510,2883,0.5232,680,,,19,23,3.55,,"Not required for admission, but considered for some",30500,30500,45464,45464,546,134,8,0.0597,9118.63,36345.37,0,0,3.5,0,19149.89,"Morehouse is a men's college (private, nonprofit). Test policy is optional. ACT scores provided; SAT composite not reported, only EBRW/Math ranges shown separately. Top 10% class rank data not collected. H2A shows institutional non-need-based aid for merit; athletic scholarships recorded as zero for first-year students."
Mount Holyoke College,MA,Northeast,2023-24,high,,5030,1926,0.3829,587,1360,1470,31,33,3.86,52,"Not required for admission, but considered for some",67018,67018,86702,86702,384,203,75,0.3695,24944,61758,0,0,100,100,58592,Private women's college. All H2A merit aid data clearly marked and extracted from first-time first-year column. Institution meets full demonstrated need for all students with need.
Muhlenberg College,PA,Northeast,2023-2024,high,merit_rate_clamped_denominator_approx,4348,2783,0.6401,427,1230,1390,28,31,3.55,38.19,Required for some,62770,62770,77320,77320,312,115,123,1.0,27198,50122,0,0,17.95,87.89,45638,"Re-verified against the Full-Time, First-Time, First-Year column of H2/H2A (not all-undergrad): enrolled=427, with-need=312, no-need merit=123 avg $27,198, athletic=0. The no-need merit count (123) exceeds enrolled-minus-with-need (115), but this is a source-internal quirk, not an extraction error: H2A's no-need population is drawn from the full cohort A (427), and 45 of those students never applied for aid at all (only 382 did per H2.B), so the true no-need pool is up to ~160, comfortably above 123. All figures confirmed correct as originally extracted."
New College of Florida,FL,Southeast,2023-24,medium,merit_rate_clamped_denominator_approx,2119,1568,0.74,221,1040,1240,20,26.5,3.82,33,Required,6916,29944,20271,43299,140,81,84,1.0,9518,33781,0,0,75.7,100,23369,"H2/H2a freshmen-column values (221 enrolled, 140 with need, 84 no-need-merit recipients averaging $9,518) verified directly against the source's FIRST-TIME FULL-TIME FRESHMEN column, not the All Students column. Note the source itself is internally inconsistent: 84 no-need merit recipients exceeds the 81 no-need freshmen (221-140), which is an artifact of the CDS instructions allowing overlapping counts across rows, not an extraction error. coa_total_instate/outstate were not printed as explicit totals in G1; recomputed as tuition_fees + food_housing (G1 does not include books/transportation/personal expenses, which are itemized separately in G5/G8)."
